cluster	sample1_0.8	sample1_1.0	sample3_0.6
0	celltype1	celltype1	celltype1
1	celltype2	celltype2	celltype2
2	celltype3	celltype3	celltype3
3	celltype4	celltype4	celltype4
4	celltype5	celltype5	celltype5
5	celltype6	celltype6	celltype6
6	celltype7	celltype7	celltype7
7	celltype8	celltype8	celltype8
8		celltype9	celltype9
9		celltype10	celltype10
10		celltype11	celltype11
11			celltype12
12			celltype13
13			celltype14
14			celltype15
15			celltype16
16			
17			
18			
19			
20			
21			
22			
23			
24			
25			
26			
27			
28			
29			
30			
31			
32			
33			
34			
35			
36			
37			
38			
39			
40			
41			
42			
43			
44			
45			
46			
47			
48			
49			
