Apocrine_Cells	CAFs_High_Grade_DCIS_Associated	CAFs_Low_Grade_DCIS_Associated	CXCL14pos_Fibroblasts	Dendritic_Cells	Endothelial_Cells	Macrophages	Mast_Cells	Myoepithelial_Cells	Pericytes	Plasma_Cells	T_Lymphocytes	11q13_Amplicon_Genes	11q13_High_Grade_DCIS_Cells	11q13_High_Grade_DCIS_Cells_G1_S	11q13_High_Grade_DCIS_Cells_Mitotic	Basal_like_Structured_DCIS_Cells	Luminal_like_Amorphous_DCIS_Cells
TAT	POSTN	CXCL12	CXCL14	IRF8	VWF	F13A1	CPA3	KRT5	NOTCH3	PDK1	TRAC	CPT1A	TFF3	H2AC8	PRC1	SYNM	NIBAN1
PIP	COL3A1	LAMB1		CYBB	PECAM1	CD14	MS4A2	TP63	COL4A1	DERL3	CD3E	TPCN2	MSMB	UHRF1	NUSAP1	EHF	BMPR1B
KLK2	COL5A1	LRP1		CLEC10A	KDR	STAB1	CMA1	TNS4	TNS1	IRF4	TRBC2	SMIM38	PRPF19		TYMS	KIT	TSKU
MYBPC1	COL5A2	ABCA6		ITGAX	PLVAP	C1QA	HDC	MYLK	SPARCL1	SLAMF7	SAMD3	MYEOV	ELAPOR1		C21orf58	GABRP	ANKRD30A
	COL1A2			XCR1	CDH5	CSF1R		LTBP2	TAGLN	MZB1	CD3D	LTO1	AGR3		TOP2A	KRT15	MUC1
	COL6A3			CIITA	ESAM	C1QC		COL17A1	RGS5	IGHA1	TRBC1	CCND1	CA12		CENPF	CCL28	PRKACB
	FN1					MS4A7		DKK3	CALD1	IGHA2	CD2	FGF19			MELK	ELF5	PREX1
	VCAN					MRC1				IGKC	CD7	FGF4			ESPL1	PROM1	HSPB8
						LYVE1				IGLC7		FGF3			NCAPG2	CX3CL1	BARX2
										JCHAIN		ANO1					SLC24A3
												FADD					SEC23B
												CTTN					
