# Generated: 2026-07-28T14:57:42.433427
# Sample: sample2
# Scanpy: 1.11.5
# Random seed: 0
# n_cells: 10105
	sample	region_annotation	leiden_0_6	leiden_0_8
cellid_000000006-1	sample2	Region 4	3	3
cellid_000000010-1	sample2	Region 4	2	1
cellid_000000014-1	sample2	Region 4	2	1
cellid_000000015-1	sample2	Region 4	3	3
cellid_000000016-1	sample2	Region 4	3	3
cellid_000000025-1	sample2	Region 4	3	3
cellid_000000026-1	sample2	Region 4	2	1
cellid_000000028-1	sample2	Region 4	2	1
cellid_000000031-1	sample2	Region 4	3	3
cellid_000000032-1	sample2	Region 4	2	1
cellid_000000033-1	sample2	Region 4	3	3
cellid_000000039-1	sample2	Region 4	3	3
cellid_000000040-1	sample2	Region 4	3	3
cellid_000000044-1	sample2	Region 4	2	1
cellid_000000045-1	sample2	Region 4	6	8
cellid_000000047-1	sample2	Region 4	3	3
cellid_000000051-1	sample2	Region 4	3	3
cellid_000000056-1	sample2	Region 4	3	3
cellid_000000059-1	sample2	Region 4	2	1
cellid_000000069-1	sample2	Region 4	3	3
cellid_000000074-1	sample2	Region 4	2	1
cellid_000000078-1	sample2	Region 4	3	3
cellid_000000082-1	sample2	Region 4	2	1
cellid_000000085-1	sample2	Region 4	3	3
cellid_000000092-1	sample2	Region 4	3	3
cellid_000000093-1	sample2	Region 4	5	6
cellid_000000095-1	sample2	Region 4	3	3
cellid_000000097-1	sample2	Region 4	3	3
cellid_000000099-1	sample2	Region 4	3	3
cellid_000000101-1	sample2	Region 4	2	1
cellid_000000102-1	sample2	Region 4	2	3
cellid_000000104-1	sample2	Region 4	2	1
cellid_000000108-1	sample2	Region 4	3	3
cellid_000000109-1	sample2	Region 4	3	3
cellid_000000113-1	sample2	Region 4	3	3
cellid_000000114-1	sample2	Region 4	3	3
cellid_000000116-1	sample2	Region 4	3	3
cellid_000000122-1	sample2	Region 4	3	3
cellid_000000125-1	sample2	Region 4	3	3
cellid_000000128-1	sample2	Region 4	3	3
cellid_000000129-1	sample2	Region 4	2	1
cellid_000000135-1	sample2	Region 4	3	3
cellid_000000140-1	sample2	Region 4	2	1
cellid_000000144-1	sample2	Region 4	6	8
cellid_000000150-1	sample2	Region 4	3	3
cellid_000000154-1	sample2	Region 4	3	3
cellid_000000156-1	sample2	Region 4	3	3
cellid_000000159-1	sample2	Region 4	2	8
cellid_000000165-1	sample2	Region 4	2	1
cellid_000000169-1	sample2	Region 4	3	3
cellid_000000171-1	sample2	Region 4	3	3
cellid_000000172-1	sample2	Region 4	6	8
cellid_000000174-1	sample2	Region 4	3	3
cellid_000000181-1	sample2	Region 4	3	3
cellid_000000190-1	sample2	Region 4	2	1
cellid_000000192-1	sample2	Region 4	3	3
cellid_000000196-1	sample2	Region 4	2	1
cellid_000000198-1	sample2	Region 4	3	3
cellid_000000199-1	sample2	Region 4	3	3
cellid_000000203-1	sample2	Region 4	3	3
cellid_000000213-1	sample2	Region 4	2	1
cellid_000000214-1	sample2	Region 4	3	3
cellid_000000217-1	sample2	Region 4	3	3
cellid_000000223-1	sample2	Region 4	3	3
cellid_000000227-1	sample2	Region 4	2	1
cellid_000000229-1	sample2	Region 4	2	1
cellid_000000231-1	sample2	Region 4	3	3
cellid_000000239-1	sample2	Region 4	8	16
cellid_000000241-1	sample2	Region 4	3	3
cellid_000000247-1	sample2	Region 4	3	3
cellid_000000264-1	sample2	Region 4	3	3
cellid_000000266-1	sample2	Region 4	2	1
cellid_000000271-1	sample2	Region 4	2	1
cellid_000000274-1	sample2	Region 4	3	3
cellid_000000275-1	sample2	Region 4	3	3
cellid_000000282-1	sample2	Region 4	3	3
cellid_000000292-1	sample2	Region 4	3	3
cellid_000000296-1	sample2	Region 4	3	3
cellid_000000302-1	sample2	Region 4	3	3
cellid_000000305-1	sample2	Region 4	3	3
cellid_000000310-1	sample2	Region 4	2	1
cellid_000000312-1	sample2	Region 4	3	3
cellid_000000318-1	sample2	Region 4	2	1
cellid_000000325-1	sample2	Region 4	3	3
cellid_000000340-1	sample2	Region 4	3	3
cellid_000000343-1	sample2	Region 4	3	3
cellid_000000345-1	sample2	Region 4	2	1
cellid_000000347-1	sample2	Region 4	3	3
cellid_000000351-1	sample2	Region 4	3	3
cellid_000000356-1	sample2	Region 4	3	3
cellid_000000363-1	sample2	Region 4	3	3
cellid_000000364-1	sample2	Region 4	3	3
cellid_000000368-1	sample2	Region 4	2	1
cellid_000000370-1	sample2	Region 4	3	3
cellid_000000371-1	sample2	Region 4	3	3
cellid_000000384-1	sample2	Region 4	3	3
cellid_000000387-1	sample2	Region 4	3	3
cellid_000000390-1	sample2	Region 4	3	3
cellid_000000392-1	sample2	Region 4	3	3
cellid_000000394-1	sample2	Region 4	3	3
cellid_000000399-1	sample2	Region 4	3	3
cellid_000000400-1	sample2	Region 4	3	3
cellid_000000411-1	sample2	Region 4	3	3
cellid_000000413-1	sample2	Region 4	3	3
cellid_000000415-1	sample2	Region 4	3	3
cellid_000000420-1	sample2	Region 4	3	3
cellid_000000423-1	sample2	Region 3	0	2
cellid_000000424-1	sample2	Region 4	2	1
cellid_000000439-1	sample2	Region 4	2	3
cellid_000000443-1	sample2	Region 4	3	3
cellid_000000444-1	sample2	Region 4	2	1
cellid_000000446-1	sample2	Region 4	3	3
cellid_000000456-1	sample2	Unlabeled	2	1
cellid_000000466-1	sample2	Region 4	6	8
cellid_000000468-1	sample2	Region 4	0	2
cellid_000000469-1	sample2	Unlabeled	2	1
cellid_000000472-1	sample2	Region 4	3	3
cellid_000000480-1	sample2	Region 4	3	3
cellid_000000482-1	sample2	Region 4	3	3
cellid_000000487-1	sample2	Region 4	2	1
cellid_000000488-1	sample2	Region 4	3	3
cellid_000000490-1	sample2	Region 4	2	1
cellid_000000496-1	sample2	Region 4	2	2
cellid_000000497-1	sample2	Unlabeled	2	1
cellid_000000498-1	sample2	Region 4	2	1
cellid_000000502-1	sample2	Region 4	3	3
cellid_000000505-1	sample2	Region 4	2	1
cellid_000000509-1	sample2	Region 4	3	3
cellid_000000511-1	sample2	Region 4	3	3
cellid_000000516-1	sample2	Region 4	3	3
cellid_000000520-1	sample2	Region 4	3	3
cellid_000000522-1	sample2	Region 4	3	3
cellid_000000524-1	sample2	Region 4	3	3
cellid_000000527-1	sample2	Region 4	3	3
cellid_000000531-1	sample2	Region 4	3	3
cellid_000000532-1	sample2	Region 4	6	11
cellid_000000533-1	sample2	Region 4	3	3
cellid_000000535-1	sample2	Region 4	3	3
cellid_000000538-1	sample2	Region 4	3	3
cellid_000000541-1	sample2	Region 4	3	3
cellid_000000549-1	sample2	Region 4	3	3
cellid_000000552-1	sample2	Region 4	3	3
cellid_000000554-1	sample2	Region 4	0	2
cellid_000000560-1	sample2	Region 4	3	3
cellid_000000564-1	sample2	Region 4	3	3
cellid_000000565-1	sample2	Region 4	5	6
cellid_000000566-1	sample2	Unlabeled	2	1
cellid_000000573-1	sample2	Region 4	3	3
cellid_000000576-1	sample2	Unlabeled	3	3
cellid_000000579-1	sample2	Region 4	3	3
cellid_000000582-1	sample2	Region 4	3	3
cellid_000000585-1	sample2	Region 4	3	3
cellid_000000587-1	sample2	Region 4	3	3
cellid_000000588-1	sample2	Region 4	2	1
cellid_000000589-1	sample2	Region 4	3	3
cellid_000000593-1	sample2	Region 4	0	2
cellid_000000610-1	sample2	Region 4	5	6
cellid_000000611-1	sample2	Region 4	3	3
cellid_000000613-1	sample2	Region 4	3	3
cellid_000000616-1	sample2	Region 4	2	1
cellid_000000618-1	sample2	Region 4	5	6
cellid_000000619-1	sample2	Unlabeled	0	2
cellid_000000627-1	sample2	Region 4	3	3
cellid_000000637-1	sample2	Region 4	3	3
cellid_000000638-1	sample2	Region 4	3	3
cellid_000000640-1	sample2	Region 4	3	3
cellid_000000641-1	sample2	Region 4	3	3
cellid_000000642-1	sample2	Region 4	3	3
cellid_000000643-1	sample2	Region 4	3	3
cellid_000000650-1	sample2	Region 4	6	8
