# Generated: 2026-07-20T17:40:54.447200
# Sample: sample2
# Scanpy: 1.11.5
# Random seed: 0
# n_cells: 18486
	sample	region_annotation	leiden_0_6	leiden_0_8
0	sample2	Region 2	7	8
3	sample2	Region 2	7	8
21	sample2	Region 2	7	8
22	sample2	Region 2	7	8
23	sample2	Region 2	7	8
24	sample2	Region 2	7	8
32	sample2	Region 2	7	8
33	sample2	Region 2	7	8
34	sample2	Region 2	7	8
36	sample2	Region 2	7	8
37	sample2	Region 2	7	8
39	sample2	Region 2	7	8
43	sample2	Region 2	7	8
47	sample2	Region 2	7	8
50	sample2	Region 2	7	8
53	sample2	Region 2	7	8
54	sample2	Region 2	7	8
60	sample2	Region 2	7	8
66	sample2	Region 2	7	8
69	sample2	Region 2	7	8
70	sample2	Region 2	7	8
79	sample2	Region 2	7	8
83	sample2	Region 2	7	8
86	sample2	Region 2	7	8
87	sample2	Region 2	7	8
88	sample2	Region 2	7	8
89	sample2	Region 2	7	8
92	sample2	Region 2	7	8
96	sample2	Region 2	7	8
99	sample2	Region 2	7	8
101	sample2	Region 2	7	8
106	sample2	Region 2	7	8
113	sample2	Region 2	7	8
123	sample2	Region 2	7	8
127	sample2	Region 2	7	8
131	sample2	Region 2	7	8
132	sample2	Region 2	7	8
136	sample2	Region 2	7	8
140	sample2	Region 2	7	8
141	sample2	Region 2	7	8
142	sample2	Region 2	7	8
144	sample2	Region 2	7	8
149	sample2	Region 2	7	8
155	sample2	Region 2	7	8
157	sample2	Region 2	7	8
169	sample2	Region 2	7	8
173	sample2	Region 2	7	8
177	sample2	Region 2	7	8
178	sample2	Region 2	7	8
183	sample2	Region 2	7	8
184	sample2	Region 2	7	8
190	sample2	Region 2	7	8
192	sample2	Region 2	7	8
193	sample2	Region 2	7	8
195	sample2	Region 2	7	8
199	sample2	Region 2	7	8
203	sample2	Region 2	7	8
212	sample2	Region 2	7	8
213	sample2	Region 2	7	8
215	sample2	Region 2	7	8
228	sample2	Region 2	7	8
229	sample2	Region 2	7	8
230	sample2	Region 2	7	8
232	sample2	Region 2	7	8
233	sample2	Region 2	7	8
234	sample2	Region 2	7	8
236	sample2	Region 2	7	8
240	sample2	Region 2	7	8
243	sample2	Region 2	7	8
245	sample2	Region 2	7	8
246	sample2	Region 2	7	8
249	sample2	Region 2	7	8
250	sample2	Region 2	7	8
253	sample2	Region 2	7	8
260	sample2	Region 2	7	8
263	sample2	Region 2	7	8
