# Generated: 2026-07-28T14:57:41.916708
# Sample: sample3
# Scanpy: 1.11.5
# Random seed: 0
# n_cells: 10064
	sample	region_annotation	leiden_0_6	leiden_0_8
cellid_000000004-1	sample3	Region 4	3	3
cellid_000000005-1	sample3	Region 4	0	5
cellid_000000007-1	sample3	Region 4	0	1
cellid_000000009-1	sample3	Region 4	3	3
cellid_000000011-1	sample3	Region 4	3	3
cellid_000000012-1	sample3	Region 4	3	3
cellid_000000021-1	sample3	Region 4	0	1
cellid_000000022-1	sample3	Region 4	0	1
cellid_000000023-1	sample3	Region 4	3	3
cellid_000000024-1	sample3	Region 4	3	3
cellid_000000030-1	sample3	Region 4	0	1
cellid_000000042-1	sample3	Region 4	0	1
cellid_000000043-1	sample3	Region 4	3	9
cellid_000000048-1	sample3	Region 4	3	3
cellid_000000052-1	sample3	Region 4	0	1
cellid_000000055-1	sample3	Region 4	9	10
cellid_000000057-1	sample3	Region 4	3	3
cellid_000000060-1	sample3	Region 4	3	3
cellid_000000062-1	sample3	Region 4	0	1
cellid_000000065-1	sample3	Region 4	0	1
cellid_000000066-1	sample3	Region 4	3	3
cellid_000000070-1	sample3	Region 4	3	3
cellid_000000075-1	sample3	Region 4	3	9
cellid_000000079-1	sample3	Region 4	3	3
cellid_000000080-1	sample3	Region 4	0	1
cellid_000000084-1	sample3	Region 4	0	1
cellid_000000088-1	sample3	Region 4	3	3
cellid_000000090-1	sample3	Region 4	3	3
cellid_000000096-1	sample3	Region 4	3	3
cellid_000000100-1	sample3	Region 4	3	3
cellid_000000103-1	sample3	Region 4	3	3
cellid_000000119-1	sample3	Region 4	9	10
cellid_000000126-1	sample3	Region 4	3	3
cellid_000000132-1	sample3	Region 4	3	3
cellid_000000133-1	sample3	Region 4	3	3
cellid_000000134-1	sample3	Region 4	3	3
cellid_000000137-1	sample3	Region 4	3	3
cellid_000000138-1	sample3	Region 4	3	3
cellid_000000142-1	sample3	Region 4	3	10
cellid_000000145-1	sample3	Region 4	3	3
cellid_000000146-1	sample3	Region 4	3	3
cellid_000000148-1	sample3	Region 4	2	7
cellid_000000157-1	sample3	Region 4	3	3
cellid_000000160-1	sample3	Region 4	3	3
cellid_000000162-1	sample3	Region 4	3	3
cellid_000000163-1	sample3	Region 4	3	3
cellid_000000170-1	sample3	Region 4	3	10
cellid_000000176-1	sample3	Region 4	3	3
cellid_000000177-1	sample3	Region 4	3	9
cellid_000000178-1	sample3	Region 4	3	3
cellid_000000180-1	sample3	Region 4	3	3
cellid_000000182-1	sample3	Region 4	3	3
cellid_000000184-1	sample3	Region 4	3	3
cellid_000000191-1	sample3	Region 4	3	3
cellid_000000197-1	sample3	Region 4	3	3
cellid_000000201-1	sample3	Region 4	0	5
cellid_000000202-1	sample3	Region 4	0	1
cellid_000000204-1	sample3	Region 4	3	3
cellid_000000207-1	sample3	Region 4	0	1
cellid_000000208-1	sample3	Region 4	0	1
cellid_000000210-1	sample3	Region 4	3	9
cellid_000000212-1	sample3	Region 4	3	3
cellid_000000215-1	sample3	Region 4	3	3
cellid_000000216-1	sample3	Region 4	3	3
cellid_000000220-1	sample3	Region 4	3	3
cellid_000000221-1	sample3	Region 4	0	5
cellid_000000226-1	sample3	Region 4	3	3
cellid_000000240-1	sample3	Region 4	3	3
cellid_000000251-1	sample3	Region 4	3	3
cellid_000000253-1	sample3	Region 4	0	1
cellid_000000254-1	sample3	Region 4	3	3
cellid_000000259-1	sample3	Region 4	3	3
cellid_000000268-1	sample3	Region 4	3	3
cellid_000000276-1	sample3	Region 4	3	3
cellid_000000280-1	sample3	Region 4	9	10
cellid_000000285-1	sample3	Region 4	3	3
cellid_000000290-1	sample3	Region 4	3	3
cellid_000000297-1	sample3	Region 4	3	3
cellid_000000298-1	sample3	Region 4	3	3
cellid_000000303-1	sample3	Region 4	3	3
cellid_000000307-1	sample3	Region 4	3	3
cellid_000000319-1	sample3	Region 4	3	3
cellid_000000330-1	sample3	Region 4	3	3
cellid_000000331-1	sample3	Region 4	3	3
cellid_000000333-1	sample3	Region 4	3	3
cellid_000000341-1	sample3	Region 4	3	3
cellid_000000342-1	sample3	Region 4	0	1
cellid_000000348-1	sample3	Region 4	3	3
cellid_000000355-1	sample3	Region 4	3	3
cellid_000000357-1	sample3	Region 4	0	1
cellid_000000358-1	sample3	Region 4	0	5
cellid_000000367-1	sample3	Region 4	3	3
cellid_000000369-1	sample3	Region 4	3	3
cellid_000000372-1	sample3	Region 4	9	10
cellid_000000374-1	sample3	Region 4	3	3
cellid_000000380-1	sample3	Region 4	3	3
cellid_000000389-1	sample3	Region 4	3	3
cellid_000000407-1	sample3	Region 4	3	3
cellid_000000408-1	sample3	Region 4	3	3
cellid_000000414-1	sample3	Region 4	3	3
cellid_000000416-1	sample3	Region 4	3	3
cellid_000000417-1	sample3	Region 4	3	3
cellid_000000418-1	sample3	Region 4	3	3
cellid_000000421-1	sample3	Region 4	0	5
cellid_000000425-1	sample3	Region 4	3	3
cellid_000000426-1	sample3	Region 4	0	1
cellid_000000430-1	sample3	Region 4	3	3
cellid_000000431-1	sample3	Region 4	3	3
cellid_000000435-1	sample3	Region 4	3	3
cellid_000000438-1	sample3	Region 4	3	3
cellid_000000440-1	sample3	Region 4	3	3
cellid_000000445-1	sample3	Region 4	0	1
cellid_000000447-1	sample3	Region 4	9	10
cellid_000000448-1	sample3	Region 4	0	1
cellid_000000450-1	sample3	Region 4	3	3
cellid_000000454-1	sample3	Region 4	3	3
cellid_000000457-1	sample3	Region 4	3	3
cellid_000000458-1	sample3	Region 4	3	3
cellid_000000461-1	sample3	Region 4	3	3
cellid_000000462-1	sample3	Region 4	0	1
cellid_000000463-1	sample3	Region 4	3	3
cellid_000000464-1	sample3	Region 4	3	3
cellid_000000470-1	sample3	Region 4	3	3
cellid_000000471-1	sample3	Region 4	3	3
cellid_000000474-1	sample3	Region 4	0	1
cellid_000000476-1	sample3	Region 4	3	3
cellid_000000478-1	sample3	Region 4	3	3
cellid_000000484-1	sample3	Region 4	6	6
cellid_000000485-1	sample3	Region 4	3	3
cellid_000000489-1	sample3	Region 4	3	3
cellid_000000491-1	sample3	Region 4	3	3
cellid_000000492-1	sample3	Region 4	3	3
cellid_000000493-1	sample3	Region 4	3	3
cellid_000000500-1	sample3	Region 4	3	3
cellid_000000501-1	sample3	Region 4	3	3
cellid_000000508-1	sample3	Region 4	3	3
cellid_000000515-1	sample3	Unlabeled	9	10
cellid_000000517-1	sample3	Region 4	3	3
cellid_000000519-1	sample3	Region 4	3	3
cellid_000000525-1	sample3	Region 4	3	3
cellid_000000528-1	sample3	Region 4	0	1
cellid_000000534-1	sample3	Region 4	9	10
cellid_000000540-1	sample3	Region 4	3	3
cellid_000000543-1	sample3	Region 4	3	3
cellid_000000545-1	sample3	Region 4	3	3
cellid_000000546-1	sample3	Region 4	6	6
cellid_000000548-1	sample3	Region 4	3	3
cellid_000000550-1	sample3	Region 4	6	6
cellid_000000555-1	sample3	Region 4	3	3
cellid_000000557-1	sample3	Region 4	0	1
cellid_000000558-1	sample3	Region 4	0	1
cellid_000000567-1	sample3	Region 4	3	3
cellid_000000574-1	sample3	Region 4	3	3
cellid_000000577-1	sample3	Region 4	9	10
cellid_000000583-1	sample3	Region 4	6	6
cellid_000000584-1	sample3	Region 4	3	3
cellid_000000586-1	sample3	Region 4	2	7
cellid_000000591-1	sample3	Region 4	0	1
cellid_000000592-1	sample3	Unlabeled	9	10
cellid_000000597-1	sample3	Region 4	3	3
cellid_000000598-1	sample3	Region 4	3	3
cellid_000000599-1	sample3	Region 4	3	3
cellid_000000604-1	sample3	Region 4	0	1
cellid_000000606-1	sample3	Region 4	3	3
cellid_000000607-1	sample3	Region 4	3	3
cellid_000000608-1	sample3	Region 4	3	3
cellid_000000609-1	sample3	Region 4	3	3
cellid_000000612-1	sample3	Region 4	3	3
cellid_000000617-1	sample3	Region 4	3	3
cellid_000000621-1	sample3	Region 4	3	3
cellid_000000623-1	sample3	Region 4	3	3
cellid_000000624-1	sample3	Region 4	0	1
cellid_000000629-1	sample3	Region 4	3	3
cellid_000000630-1	sample3	Region 4	3	3
cellid_000000632-1	sample3	Region 4	0	1
cellid_000000633-1	sample3	Region 4	3	3
cellid_000000635-1	sample3	Region 4	3	3
cellid_000000636-1	sample3	Region 4	3	3
cellid_000000639-1	sample3	Region 4	3	3
cellid_000000645-1	sample3	Region 4	3	3
cellid_000000646-1	sample3	Region 4	3	3
cellid_000000648-1	sample3	Region 4	3	1
cellid_000000649-1	sample3	Region 4	2	7
