# Generated: 2026-07-20T17:40:55.309515
# Sample: sample3
# Scanpy: 1.11.5
# Random seed: 0
# n_cells: 18476
	sample	region_annotation	leiden_0_6	leiden_0_8
1	sample3	Region 2	6	8
15	sample3	Region 2	6	8
20	sample3	Region 2	6	8
25	sample3	Region 2	6	8
26	sample3	Region 2	6	8
38	sample3	Region 2	6	8
40	sample3	Region 2	6	8
44	sample3	Region 2	6	8
45	sample3	Region 2	6	8
48	sample3	Region 2	6	8
55	sample3	Region 2	6	8
57	sample3	Region 2	6	8
58	sample3	Region 2	6	8
61	sample3	Region 2	6	8
62	sample3	Region 2	6	8
64	sample3	Region 2	6	8
65	sample3	Region 2	6	8
67	sample3	Region 2	6	8
73	sample3	Region 2	6	8
75	sample3	Region 2	6	8
76	sample3	Region 2	6	8
78	sample3	Region 2	6	8
80	sample3	Region 2	6	8
84	sample3	Region 2	6	8
85	sample3	Region 2	6	8
91	sample3	Region 2	6	8
115	sample3	Region 2	6	8
120	sample3	Region 2	6	8
122	sample3	Region 2	6	8
129	sample3	Region 2	6	8
130	sample3	Region 2	6	8
134	sample3	Region 2	6	8
145	sample3	Region 2	6	8
152	sample3	Region 2	6	8
158	sample3	Region 2	6	8
159	sample3	Region 2	6	8
163	sample3	Region 2	6	8
165	sample3	Region 2	6	8
170	sample3	Region 2	6	8
171	sample3	Region 2	6	8
172	sample3	Region 2	6	8
174	sample3	Region 2	6	8
180	sample3	Region 2	6	8
182	sample3	Region 2	6	8
185	sample3	Region 2	6	8
197	sample3	Region 2	6	8
200	sample3	Region 2	6	8
204	sample3	Region 2	6	8
205	sample3	Region 2	6	8
208	sample3	Region 2	6	8
209	sample3	Region 2	6	8
216	sample3	Region 2	6	8
220	sample3	Region 2	6	8
222	sample3	Region 2	6	8
224	sample3	Region 2	6	8
225	sample3	Region 2	6	8
226	sample3	Region 2	6	8
238	sample3	Region 2	6	8
239	sample3	Region 2	6	8
242	sample3	Region 2	6	8
251	sample3	Region 2	6	8
252	sample3	Region 2	6	8
256	sample3	Region 2	6	8
259	sample3	Region 2	6	8
261	sample3	Region 2	6	8
266	sample3	Region 2	6	8
268	sample3	Region 2	6	8
270	sample3	Region 2	6	8
274	sample3	Region 2	6	8
276	sample3	Region 2	6	8
277	sample3	Region 2	6	8
278	sample3	Region 2	6	8
282	sample3	Region 2	6	8
297	sample3	Region 2	6	8
298	sample3	Region 2	6	8
299	sample3	Region 2	6	8
302	sample3	Region 2	6	8
313	sample3	Region 2	6	8
316	sample3	Region 2	6	8
317	sample3	Region 2	6	8
318	sample3	Region 2	6	8
322	sample3	Region 2	6	8
327	sample3	Region 2	6	8
